Variable,Table,Key,Dataset,MMRF Variable Name,Description,HIPAA or Other Identified Data,Data Type,MMRF Values,CoMMpass Note,caDSR,Data Standard,CoMMpass Source Table Variable,CoMMpass Subcohort,Additional Information,Constraint,GDC Variable,GDC Values,GDC Required,,
20,diagnosis,no,commpass,year_of_last_follow_up,"Year component of the subject's last follow-up in study. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",not applicable,,"Subcohort One: Table: D_PT |  Variable: lastdt
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv |Last_contact_Follow_up","one,two",MMRF addition to data model.,,,,MMRF addition,,
22,diagnosis,no,commpass,last_known_disease_status,Last known state or condition of an individual's neoplasm/cancer/myeloma.,no,enum,"complete_response
responding_disease
stable_disease
progressive_disease
not_evaluable
not_reported
not_allowed_to_collect","Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

In the absence of MRD endpoints, modified response values are used for CoMMpass.",5424231,,"Subcohort One: Table: D_BRESP.csv | assessdt, responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: drop_out_cause, best_resp_mob, best_resp_maint, best_resp_ind","one,two",,,last_known_disease_status,"Biochemical evidence of disease without structural correlate
Distant met recurrence/progression
Loco-regional recurrence/progression
Tumor free
Unknown tumor status
With tumor
not reported
Not Allowed To Collect",no,,
23,diagnosis,no,commpass,days_to_last_known_disease_status,"Number of days between the subject's last date of disease status and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",3008273,,"Subcohort One: Table: D_BRESP.csv | assessdt, responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: drop_out_cause, best_resp_mob, best_resp_maint, best_resp_ind","one,two",,,days_to_last_known_disease_status,,no,,
24,diagnosis,no,commpass,year_of_last_known_disease_status,"Year component ofthe subject's last date of disease status . In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",not applicable,,"Subcohort One: Table: D_BRESP.csv | assessdt, responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: drop_out_cause, best_resp_mob, best_resp_maint, best_resp_ind","one,two",MMRF addition to data model.,,,,MMRF addition,,
26,diagnosis,no,commpass,first_progressive_disease,Indicator that the subject has progressive disease after initial treatment.,no,boolean,"yes
no","Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",3121376,,"Subcohort One: Table: D_BRESP.csv | assessdt, responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: drop_out_cause, best_resp_mob, best_resp_maint, best_resp_ind","one,two",MMRF changed the variable name from progression_or_recurrence to relapse.,,progression_or_recurrence,"yes
no
unknown
not reported",no,,
27,diagnosis,no,commpass,days_to_first_progressive_disease,"Number of days between the subject's multiple myeloma date of diagnosis and the first instance of progressive disease, if applicable. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",6154731,,"Subcohort One: Table: D_BRESP.csv | assessdt, responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: drop_out_cause, best_resp_mob, best_resp_maint, best_resp_ind","one,two",,,days_to_recurrence,,no,,
28,diagnosis,no,commpass,year_of_first_progressive_disease,"Year component of the subject's date of the first instance of progressive disease. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",not applicable,,"Subcohort One: Table: D_BRESP.csv | assessdt, responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: drop_out_cause, best_resp_mob, best_resp_maint, best_resp_ind","one,two",,,,,MMRF addition,,
30,diagnosis,no,commpass,icd_10_code,Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10).,no,string,c90.0,All MMRF CoMMpass subjects have active multiple myeloma at diagnosis for this study; all subjects have c90.0 recorded.,3226287,International Classification of Disease (ICD-10),Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,,icd_10_code,c90.0,no,,
31,diagnosis,no,commpass,iss_stage,The multiple myeloma disease International Staging System (ISS) stage at diagnosis that prognostically categorizes the severity of multiple myeloma based on routinely obtained lab values.,no,enum,"1
2
3
not reported",,2465385,,Cohort One: Table D_PT.csv | variable: iss,"one,two",,,iss_stage,"I
II
III
Unknown
Not reported",no,,
32,diagnosis,no,commpass,r_iss_stage,The multiple myeloma disease Revised International Staging System (R-ISS) stage at diagnosis that prognostically categorizes the severity of multiple myeloma based on routinely obtained lab values and genetic risk by FISH and LDH level.,no,enum,"i
ii
iii
unknown
not reported",MMRF addition,not applicable,,Cohort One: Table D_PT.csv | variable: R_ISS,one,,,,not applicable,MMRF addition,,
33,diagnosis,no,commpass,method_of_diagnosis,The method used to confirm the subject's malignant diagnosis.,no,enum,bone_marrow_aspirate,All MMRF CoMMpass subjects had a bone marrow biopsy/aspirate for confirmation of diagnosis for this study; all subjects have 'bone_marrow_aspirate' recorded.,6161031,,Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,,method_of_diagnosis,see diagnosis data details ab,no,,
34,diagnosis,no,commpass,height_at_diagnosis_m,Subject's height (m) recorded prior to first therapy for active multiple myeloma diagnosis.,no,integer,,"Moved from GDC follow-up table, as event occurs at diagnosis. It is not longitudinally assessed at visit.",,,"Subcohort One: Table DEMOG.csv | variable: DEMOG_HEIGHT
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: heights_cm","one,two","Since CoMMpass collects this data at the time of diagnosis, variable moved to diagnosis table.",,height,,no,,
35,diagnosis,no,commpass,weight_at_diagnosis_kg,Subject's weight (kg) recorded prior to first therapy for active multiple myeloma diagnosis.,no,integer,,"Moved from GDC follow-up table, as event occurs at diagnosis. It is not longitudinally assessed at visit.",,,"Subcohort One: Table DEMOG.csv | variable: DEMOG_WEIGHT
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: weight_at_diagnosis","one,two","Since CoMMpass collects this data at the time of diagnosis, variable moved to diagnosis table.",,weight,,no,,
36,diagnosis,no,commpass,bmi_at_diagnosis,Subject's body mass index (BMI) calculated from height and weight recorded prior to first therapy for active multiple myeloma diagnosis. algorithm: (weight/(height*height)),no,numeric,,"Moved from GDC follow-up table, as event occurs at diagnosis. It is not longitudinally assessed at visit.",,CDC: https://www.cdc.gov/bmi/about/index.html,"Derived from height_at_diagnosis, weight_at_diagnosis","one,two","Since CoMMpass collects this data at the time of diagnosis, variable moved to diagnosis table.",,bmi,,no,,
1,followup,primary,commpass,followup_id,Unique row identifier for followup table,no,string,example: mmrf_1007-mmrf_commpass-v10,"This is a composite primary key based on a combination of public_id, project_id, and visit.",not applicable,not applicable,,"one,two",,not null,,not applicable,,,
2,followup,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_1111,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. This is the primary key for the subject table.",not applicable,not applicable,Subcohorts One and Two: Table: D_PT.csv | Variable: subject_id,"one,two",,not null,submitter_id,yes,,,
3,followup,foreign,commpass,project_id,The project's source name,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,Subcohorts One and Two: Table: project,"one,two","MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,followup,no,commpass,study_visit,Harmonized study visit designation across subcohorts.,no,enum,see follow-up details tab,"Subcohort=""one"", MMRF CoMMpass project, defined subject study visits numbered in months following the baseline visit. It is important to note that the study visit label will not always conform to its actual visit timing, meaning that the 3-month visit may not be timed precisely at 3 months following the baseline visit.",not applicable,not applicable,Subcohort One and Two: Table: D_VISIT.csv | Variable: VJ_INTERVAL,"one,two",,not null,,yes,,,
5,followup,no,commpass,timepoint_category,"Category describing a specific point in the time continuum, including those established relative to an event.",no,enum,,C68568,NCIt,,Subcohort One and Two: Table: D_VISIT.csv | Variable: VJ_INTERVAL,"one,two",,not null,timepoint_category,yes,,,
6,followup,no,commpass,days_to_visit,Number of days between the date used for index and the date of the subject's last follow-up appointment or contact.,no,integer,,,,,Subcohort One and Two: Table: D_VISIT.csv | Variable: visitdt,"one,two",,,days_to_follow_up,yes,,,
7,followup,no,commpass,year_of_visit,The year of the subject's study or followup visit.,no,integer 4 digit,,,,,Subcohort One and Two: Table: D_VISIT.csv | Variable: visitdt,"one,two",,,year_of_follow_up,yes,,,
10,followup,no,commpass,ecog_ps_numeric,The subject's performance status (PS) score reported in its numeric format  at the time of the visit. The ECOG PS is a determination of how well a subject is able to perform ordinary tasks and carry out daily activities.,no,enum,"0
1
2
3
4
5
unknown
not_reported","Descriptions for the numeric code: 0=Fully active, able to carry on all pre-disease performance without restriction | 1=Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature | 2= Ambulatory and capable of all selfcare but unable to carry out any work activities | 3=Capable of only limited selfcare confined to bed or chair more than 50 percent of waking hours | 4=Completely disabled Cannot carry on any selfcare  Totally confined to bed or chair | 5=Dead | unknown | not_reported

This variable may be more useful in analyses including PS.",88,Eastern Cooperative Oncology Group,"Subcohort One and Two: Table: ECOG.csv | Variable: ECOG_PERFORMANCEST
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: ecog_performance_status","one,two",,,ecog_performance_status,"0
1
2
3
4
5
Unknown
Not Reported",no,,
11,followup,no,commpass,days_to_ecog_ps,"Number of days between the date that the subject reported ECOG PS and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,,,,"Subcohort One and Two: Table: ECOG.csv | Variable: ECOG_ASSESSMENTDAT_RAW_
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: ecog_performance_status","one,two",,,timepoint_category,see follow-up details tab,no,,
12,followup,no,commpass,year_of_ecog_ps,"Year component of the date that the subject reported ECOG PS. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,,,"Subcohort One and Two: Table: ECOG.csv | Variable: ECOG_ASSESSMENTDAT_RAW_
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: ecog_performance_status","one,two",,,not_applicable,not_applicable,not_applicable,,
14,followup,no,commpass,disease_response,Code assigned to describe the subject's response or outcome to the disease.,no,enum,"complete_response
stingent_complete_respones
very_good_partial_response
partial_response
stable_disease
progressive_disease
not_evaluable
not_reported",,,,"Subcohort One and Two: Table: D_BRESPMO.csv | Variable:AT_TREATMENTRESP 
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: best_response","one,two",,,not_applicable,not_applicable,not_applicable,,
16,followup,no,commpass,days_to_disease_response_assessment,Number of days between the date used for index and the date the subject's disease was assessed for treatment response.,no,integer,,,,,"Subcohort One and Two: Table: D_BRESPMO.csv | Variable: assessdt
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: best_response_date","one,two",,,not_applicable,not_applicable,not_applicable,,
17,followup,no,commpass,year_of_disease_response_assessment,The year of the followup visit.,no,integer 4 digit,,no,integer 4 digit,,"Subcohort One and Two: Table: D_BRESPMO.csv | Variable: assessdt
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: best_response_date","one,two",,,not_applicable,not_applicable,not_applicable,,
19,followup,no,commpass,televisit,"A flag indicating whether or not the study visit was a televisit, which was important characteristic during the COVID-19 period.",no,boolean,"yes
no",The data element was added during COVID to track patients' visits.,not applicable,,,"one,two",,,not_applicable,not_applicable,not_applicable,,
20,followup,no,commpass,reported_signs_symptoms,"From the time following the previous study visit to this study visit, the subject reported experiencing one or more signs/symptoms indicating myeloma. The specific signs and/or symptoms are recorded in the signs_symptoms table.",no,boolean,"yes
no",The adverse events are in the adverse_event table.,not applicable,,derived from signs_symptoms,one,,,not_applicable,not_applicable,not_applicable,,
21,followup,no,commpass,reported_adverse_event,"From the time following the previous study visit to this study visit, the subject reported experiencing one or more adverse event. The specific adverse event(s) are located in the adverse_event table.",no,boolean,"yes
no",The signs/symptoms are in the signs_symptoms table.,not applicable,,derived from adverse_events,one,,,not_applicable,not_applicable,not_applicable,,
22,followup,no,commpass,reported_clinical_event,"From the time following the previous study visit to this study visit, the subject reported one or more clinical events, including medical history, emergency department visit, or hospitalization at the time of the study visit.",no,boolean,"yes
no",The medical events are in the other_clinical_attributes table.,not applicable,,derived from other_clinical attributes,"one,two",,,not_applicable,not_applicable,not_applicable,,
1,adverse_event,primary,commpass,ae_id,Unique row identifier for adverse_event table.,no,string,,"This is a composite primary key based on a combination of public_id, project_id, and count of adverse_event.",not applicable,not applicable,,one,MMRF created for this dataset,not null,,not applicable,MMRF addition,,
2,adverse_event,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_1111,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. This is the primary key for the subject table.",not applicable,not applicable,"Table: PERIPHERAL,GRADE3OR4AEs,  Variable: public_id",one,,not null,submitter_id,not applicable,yes,,
3,adverse_event,foreign,commpass,project_id,The project's source name,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,applied,one,"MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,adverse_event,no,commpass,study_visit,"Subcohort=""one"", MMRF CoMMpass project, defined subject study visits numbered in months following the baseline visit. It is important to note that the study visit label will not always conform to its actual visit timing, meaning that the 3-month visit may not be timed precisely at 3 months following the baseline visit.",no,enum,see adverse_event details tab,,,,"Table: PERIPHERAL,GRADE3OR4AEs,  Variable: VJ_INTERVAL",one,,,,,,,
5,adverse_event,no,commpass,ae,The adverse event reported by the patient at the study visit. This event can be reported across two or more study visits.,no,string,,Text entry list of diagnoses.,,,"Table: PERIPHERAL or GRADE3OR4AEs,  Variable: PN_WASANEUROLOGI, AESMT_GRADEAE",one,,,,,,,
6,adverse_event,no,commpass,peripheral_sensory_neuropathy_present,"If peripheral neuropathy is the adverse event, was it peripheral sensory neuropathy?",no,boolean,yes no,,,,"Table: PERIPHERAL,  Variable: PN_PERIPHERALSEN",one,,,,,,,
7,adverse_event,no,commpass,peripheral_sensory_neuropathy_grade,CTCAE grade for  peripheral sensory neuropathy,no,string,,,,,"Table: PERIPHERAL,  Variable: PN_IFYESINDICATE",one,,,,,,,
8,adverse_event,no,commpass,peripheral_motor_neuropathy_present,"If peripheral neuropathy is the adverse event, was it peripheral motor neuropathy?",no,boolean,yes no,,,,"Table: PERIPHERAL,  Variable: PN_PERIPHERALMOT",one,,,,,,,
9,adverse_event,no,commpass,peripheral_motor_neuropathy_grade,CTCAE grade for  peripheral motor neuropathy,no,string,,,,,"Table: PERIPHERAL,  Variable: PN_IFYESINDICATE2",one,,,,,,,
1,bone_assessment,primary,commpass,ba_id,Unique row identifier for bone_assessment table.,no,string,example: mmrf_1011-mmrf_commpass-ba1,"This is a composite primary key based on a combination of public_id, project_id, and count of bone assessments.",,,,"one, two",,,,,,,
2,bone_assessment,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_1111,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. This is the primary key for the subject table.",not applicable,not applicable,Subcohort One and Two: Table: D_PT.csv | Variable: subject_id,"one, two",,,,,,,
3,bone_assessment,foreign,commpass,project_id,The project's source name,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,project table,"one, two","MMRF created for this dataset 
",,project_id,not applicable,no,,
4,bone_assessment,no,commpass,baseline_assessment,"Indicator that the bone assessment was performed prior to or within 7 days of the baseline visit for the study, which for CoMMpass subjects was before the patient received first treatment for multiple myeloma.",no,boolean,"yes
no",,,,,"one, two",,,,,,,
5,bone_assessment,no,commpass,days_to_bone_assessment,"Number of days between the date of imaging test and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,,,,Cohort One: Table BONE_ASSESS | Variable BA_DATEOFASSESSM_RAW_,one,"Variable moved from GDC follow-up table. Since imaging is not routinely collected at follow-up visits, it is moved to own table.",,days_to_imaging,,yes,,
6,bone_assessment,no,commpass,year_of_bone_assessment,"Year component the date imaging scan during the course of the study. In a de-identified dataset, this variable will help with sequencing events. ",no,integer 4 digit,,,,,Cohort One: Table BONE_ASSESS | Variable BA_DATEOFASSESSM_YYYY,one,,,year_of_image,,no,,
8,bone_assessment,no,commpass,bone_assessment_type,The type of clinical review of the subject's bones.,no,enum,"biopsy
imaging
physical_exam",,not applicable,NCIt,Cohort One: Table BONE_ASSESS | Variable BA_TYPEOFBONEASS,one,,,,,,,
9,bone_assessment,no,commpass,imaging_scan_type,"For subjects with imaging used as bone assessment technique, the specification of the imaging modality used to evaluate myeloma involvement.",no,enum,"bone_density
bone_scan
ct_scan
mri
pet_ct
pet
skeletal_survey_xray
ultrasound
xray_imaging
not_applicable
not_reported","If bone_assessment_type=""imaging"" this variable will be populated with the image modality; otherwise, ""not_applicable"" is recorded.
",,NCIt,Cohort One: Table BONE_ASSESS | Variable BA_TYPEOFBONEASS,,"variable moved from GDC follow-up table. Since imaging is not routinely collected at follow-up visits, it is moved to own table.",,imaging_type,"99mTc Bone Scintigraphy
Bone Scan, NOS
CT Scan
MRI
PET
Ultrasound
Unknown
Not Reported",no,,
10,bone_assessment,no,commpass,imaging_anatomic_site,"	
The named location(s) within the body where an image was taken.",no,array,"abdomen
abdomen_pelvis
chest
head
neck
pelvis
lower_extremity
upper_extremity
shoulder
spine
whole_body
not_reported",,,,Cohort One: Table BONE_ASSESS | Variable BA_TYPEOFBONEASS,one,"variable moved from GDC follow-up table. Since imaging is not routinely collected at follow-up visits, it is moved to own table.",,imaging_anatomic_site,"Abdomen
Cervix Uteri
Lymph Node
Pelvis
Pleura
Unknown
Not Reported",no,,
11,bone_assessment,no,commpass,interpretation,Indication of whether cancer was found on scan or exam.,no,enum,clinically_significant_abnormality_related_to_mm |  clinically_significant_abnormality_unrelated_to_mm |normal_or_clinically_insignificant_abnormality,,,,Cohort One: Table BONE_ASSESS | Variable BA_IMAGEINTERPRE,one,"variable moved from GDC follow-up table. Since imaging is not routinely collected at follow-up visits, it is moved to own table.",,imaging_result,"Indeterminate
Negative
Not Performed
Positive
Unknown
Not Reported",no,,
12,bone_assessment,no,commpass,lytic_bone_lesion_present,"Indication and number of  lytic bone lesions found on scan if imaging_result=""positive."" If imaging_result was not ""positive"" then ""not_applicable"" is recorded.",no,enum,"yes
no",,,,Cohort One: Table BONE_ASSESS | Variable BA_OFLYTICLESION,"one, two",,,not_applicable,,not applicable,,
13,bone_assessment,no,commpass,number_of_lytic_lesions,Number of lytic bone lesions found in exam.,no,enum,"none
one
two
greater_than_equal_to_three
not_reported",,,,,"one, two",,,,,,,
14,bone_assessment,no,commpass,osteopenia_osteoporosis,Indication that the exam found evidence of osteopenia or osteoporosis,no,enum,"yes
no
not_reported",,,,,"one, two",,,,,,,
15,bone_assessment,no,commpass,pathologic_fracture,,no,enum,"yes
no
not_reported",,,,,"one, two",,,,,,,
16,bone_assessment,no,commpass,multiple_mm_disseminated_lesions,Indication that the exam found evidence of multiple disseminated bone lesions.,no,enum,"yes
no
not_applicable","The value ""not_applicable"" is used when the interpretation of the exam is noted to be either ""clinically_significant_abnormality_unrelated_to_mm"" or  ""normal_or_clinically_insignificant_abnormality"".",,,,,,,,,,,
17,bone_assessment,no,commpass,mm_bone_lesion_skull,Indication that the exam found evidence of myeloma-related bone lesion(s) on skull.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
18,bone_assessment,no,commpass,mm_bone_lesion_spine,Indication that the exam found evidence of myeloma-related bone lesion(s) on spine.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
19,bone_assessment,no,commpass,mm_bone_lesion_cervical_spine,Indication that the exam found evidence of myeloma-related bone lesion(s) on cervical spine.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
20,bone_assessment,no,commpass,mm_bone_lesion_thoracic_spine,Indication that the exam found evidence of myeloma-related bone lesion(s) on thoracic spine.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
21,bone_assessment,no,commpass,mm_bone_lesion_lumbar_spine,Indication that the exam found evidence of myeloma-related bone lesion(s) on lumbar spine.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
22,bone_assessment,no,commpass,mm_bone_lesion_sacral_spine,Indication that the exam found evidence of myeloma-related bone lesion(s) on sacral spine.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
23,bone_assessment,no,commpass,mm_bone_lesion_pelvis,Indication that the exam found evidence of myeloma-related bone lesion(s) on pelvis.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
24,bone_assessment,no,commpass,mm_bone_lesion_pelvis_r,Indication that the exam found evidence of myeloma-related bone lesion(s) on the right pelvis.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
25,bone_assessment,no,commpass,mm_bone_lesion_pelvis_l,Indication that the exam found evidence of myeloma-related bone lesion(s) on left pelvis.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
26,bone_assessment,no,commpass,mm_bone_lesion_femur,Indication that the exam found evidence of myeloma-related bone lesion(s) on femur.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
27,bone_assessment,no,commpass,mm_bone_lesion_femur_r,Indication that the exam found evidence of myeloma-related bone lesion(s) on the right femur.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
28,bone_assessment,no,commpass,mm_bone_lesion_femur_l,Indication that the exam found evidence of myeloma-related bone lesion(s) on left femur.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
29,bone_assessment,no,commpass,mm_bone_lesion_humerus,Indication that the exam found evidence of myeloma-related bone lesion(s) on humerus.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
30,bone_assessment,no,commpass,mm_bone_lesion_humerus_r,Indication that the exam found evidence of myeloma-related bone lesion(s) on the right humerus.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
31,bone_assessment,no,commpass,mm_bone_lesion_humerus_l,Indication that the exam found evidence of myeloma-related bone lesion(s) on left humerus.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
32,bone_assessment,no,commpass,mm_bone_lesion_ribs,Indication that the exam found evidence of myeloma-related bone lesion(s) on ,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
33,bone_assessment,no,commpass,mm_bone_lesion_ribs_r,Indication that the exam found evidence of myeloma-related bone lesion(s) on right-sided ribs.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
34,bone_assessment,no,commpass,mm_bone_lesion_ribs_r_number,Number of bone lesions on right-sided ribs found on exam.,no,integer,,"""not_reported"" used for subcohort=""two""",,,,,,,,,,,
35,bone_assessment,no,commpass,mm_bone_lesion_ribs_l,Indication that the exam found evidence of myeloma-related bone lesion(s) on left-sided ribs.,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
36,bone_assessment,no,commpass,mm_bone_lesion_ribs_l_number,Number of bone lesions on left-sided ribs found on exam.,no,integer,,"""not_reported"" used for subcohort=""two""",,,,,,,,,,,
37,bone_assessment,no,commpass,mm_other_lesions,Indication that the exam found evidence of other myeloma-related bone lesion(s).,no,enum,"yes
no
not_reported","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
38,bone_assessment,no,commpass,mm_other_lesion_specify,Text listing of other locations of myeloma-related bone lesions.,no,string,,,,,,,,,,,,,
39,bone_assessment,no,commpass,bone_lytic_lesion_by_xray,Derived data element indicating xray imaging used to evaluate lytic bone lesions.,no,enum,"yes
not_reported
not_applicable","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
40,bone_assessment,no,commpass,bone_lytic_lesion_by_ct,Derived data element indicating ct imaging used to evaluate lytic bone lesions.,no,enum,"yes
not_reported
not_applicable","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
41,bone_assessment,no,commpass,bone_lytic_lesion_by_mri,Derived data element indicating mri imaging used to evaluate lytic bone lesions.,no,enum,"yes
not_reported
not_applicable","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
42,bone_assessment,no,commpass,bone_lytic_lesion_by_petct,Derived data element indicating petct imaging used to evaluate lytic bone lesions.,no,enum,"yes
not_reported
not_applicable","""not_reported"" used for subcohort=""two""",,,,,,,,,,,
1,signs_symptoms,primary,commpass,ss_id,The unique identifier for signs_symptoms table.,no,string text,,"This is a composite primary key based on a combination of public_id, project_id, and count of the visit for subjects to create a unique identifier for table.",,,,,,not null,not applicable,not applicable,not applicable,,
2,signs_symptoms,foreign,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_1111,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. This is the primary key for the subject table.",not applicable,not applicable,SYMPTOMS.csv,one,,not null,not applicable,not applicable,not applicable,,
3,signs_symptoms,yes,commpass,project_id,The project's source name,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,project table,one,"MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,signs_symptoms,no,commpass,study_visit,"MMRF CoMMpass project defined subject study visits. NB the study visit label will not always conform to its actual timing, meaning that the 3-month visit may not be timed precisely at 3 months. The study_visit defined the data collected for the visit.",no,string,see signs_smptoms details tab,"MMRF CoMMpass project defined subject study visits. NB the study visit label will not always conform to its actual timing, meaning that the 3-month visit may not be timed precisely at 3 months. The study_visit defined the data collected for the visit.",not applicable,not applicable,Table: SYMPTOMS.csv| Variable ,one,,,not applicable,not applicable,not applicable,,
5,signs_symptoms,no,commpass,days_to_signs_symptoms,"Number of days between the date of of the reported sign/symptom and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,,,,,,,,,,,,
6,signs_symptoms,no,commpass,year_of_signs_symptoms,"Year component the date of of the reported sign/symptom. In a de-identified dataset, this variable will help with sequencing events. ",no,integer four digit,,,,,,,,,,,,,
8,signs_symptoms,no,commpass,subject_had_signs_symptoms,Indicator that the subject reported one or more signs and/or symptoms at the study visit.,no,boolean,yes no,,not applicable,not applicable,Table: SYMPTOMS.csv| Variable  SS_DOESTHEPATIEN,one,,,,,,,
